User's Age,User's Sex,Speed,Dominant Hand,Backspaces Count,Move Avg Time,Total Move Events,Click Avg Time,Total Click Events,Keyboard Avg Time,Total Keyboard Events,tired_level
23.0,1,22194.200868735625,0,0.4444444444444444,4.1379,21,4.1379,21,0.9703999999999998,18,3
24.0,1,41801.73720036798,0,0.019230769230769232,10.180750000000002,17,9.581882352941179,18,0.3385756097560975,208,2
23.0,0,67468.00167774055,0,0.0,2.572125,17,2.1660000000000004,20,18.991500000000002,3,0
25.0,1,29086.976263750897,0,0.0,8.3666,21,9.296222222222221,19,0.3974040404040404,201,4
25.0,0,104005.54580132401,0,0.2,5.339578947368421,20,3.6232857142857147,29,0.6139999999999972,5,0
23.0,1,48710.65941385352,0,0.018691588785046728,6.296647058823529,18,3.6911379310344823,30,0.31111374407582937,214,4
27.0,0,67430.44448344945,0,0.0,6.083125,17,6.083125,17,0.25799159663865545,241,0
23.0,0,24147.056732208537,0,0.0,7.858399999999999,21,5.238933333333333,31,0.7604422110552764,200,4
25.0,0,47218.797865667395,0,0.0,12.967894736842107,20,11.732857142857144,22,0.9661781376518219,248,2
21.0,1,24829.67609854624,0,0.03686635944700461,11.957466666666667,16,9.440105263157895,20,0.3407102803738317,217,2
25.0,0,24454.466705759936,0,0.0,8.710411764705881,18,6.438130434782608,24,0.49489552238805984,269,5
21.0,1,42867.51602854666,1,0.014492753623188406,6.689,22,6.689,22,0.4139754901960785,207,2
18.0,1,37702.63808558096,0,0.0,5.979117647058824,18,6.3528125,17,0.30887692307692327,68,5
27.0,0,27774.958650323264,0,0.0,9.455124999999999,17,9.455124999999999,17,0.5133272058823529,273,2
20.0,1,21847.9033252648,0,0.04128440366972477,9.7573125,17,7.430952380952381,22,0.0,218,3
23.0,0,47434.07062220593,0,0.017241379310344827,12.486333333333334,16,9.36475,21,0.5266069868995633,232,3
30.0,0,53929.080797669594,0,0.020833333333333332,3.5408999999999997,21,3.219,23,1.1970222222222222,48,5
28.0,0,32617.751610925006,0,0.0,8.210294117647058,18,7.346052631578947,20,0.4640498084291188,262,4
25.0,1,63207.62299897889,0,0.0,5.453107142857142,29,5.089566666666666,31,0.4759418604651163,259,2
48.0,1,23329.444574228575,0,0.019230769230769232,9.883105263157894,20,9.883105263157894,20,0.5653853658536586,208,3
42.0,1,22946.528130223447,0,0.0860655737704918,9.067941176470589,18,7.340714285714286,22,0.37207883817427384,244,2
33.0,0,27765.307410915895,0,0.0,9.302818181818182,23,7.871615384615385,27,0.8253458333333333,241,3
42.0,0,41182.32818646095,1,0.0,3.8690666666666664,16,3.0545263157894733,20,0.2173333333333313,6,5
30.0,1,20317.547309253812,0,0.03686635944700461,15.8471875,17,14.086388888888889,19,0.856247663551402,217,1
35.0,0,36028.74914306079,0,0.0,8.46342105263158,20,8.46342105263158,20,1.0134117647058825,154,3
41.0,1,48034.74013109293,0,0.027906976744186046,8.928222222222223,19,8.928222222222223,19,0.41951886792452836,215,4
28.0,0,28910.54373681629,1,0.019230769230769232,16.442066666666665,16,14.50770588235294,18,0.4752585365853658,208,3
23.0,0,65720.94737944525,0,0.0,5.3394545454545455,23,4.195285714285714,29,0.5185806451612903,218,4
41.0,0,17015.974878689452,0,0.07983193277310924,11.67542105263158,20,11.67542105263158,20,0.6102170212765957,238,2
23.0,0,78554.6957033336,0,0.0,2.4927777777777775,19,1.8080869565217388,24,15.491999999999999,3,5
25.0,1,42994.90178705599,0,0.056768558951965066,6.406466666666668,16,5.652764705882354,18,0.24925221238938056,229,1
27.0,0,36762.81500545511,0,0.037037037037037035,7.1315625,17,6.339166666666667,19,0.5140558139534883,216,3
33.0,0,47376.57815758578,1,0.0,7.623214285714285,15,7.623214285714285,15,0.5155477386934674,200,0
45.0,0,66901.26338601895,0,0.0,9.183125,17,7.346500000000001,21,0.6124025974025974,232,4
26.0,0,32432.17898661277,0,0.03255813953488372,6.298588235294117,18,5.098857142857143,22,2479654151.8607216,215,1
27.0,0,57870.67100918567,0,0.0,2.13035,21,1.7752916666666667,25,4.315533333333002,10,2
28.0,0,34595.60272097152,0,0.004672897196261682,7.531777777777778,19,7.974823529411765,18,0.553712206572714,214,2
28.0,0,36845.57239932866,0,0.0,8.363823529411764,18,7.899166666666667,19,0.6569241706161139,212,1
23.0,0,37291.53665862129,0,0.014492753623188406,7.294263157894737,20,6.599571428571429,22,0.6350194174757282,207,3
21.0,1,29978.33852619332,0,0.0,14.544533333333334,16,14.544533333333334,16,0.8624753363228699,224,2
22.0,0,25454.677612672,0,0.04017857142857143,6.797318181818183,23,6.501782608695653,24,0.6105739910313902,224,2
52.0,1,35239.6005861374,0,0.0,11.70704347826087,24,10.77048,26,1.1794842105263157,191,4
27.0,0,80823.04467957892,1,0.03286384976525822,5.05874074074074,28,4.5522,31,0.613438679245283,213,2
28.0,0,52619.01025147208,0,0.0,9.210111111111111,19,8.289100000000001,21,0.7995172413793104,204,5
27.0,0,23548.650947425383,0,0.0,9.387576923076923,27,10.169875,25,1.0956019417475729,207,1
28.0,0,35353.844724701674,0,0.004784688995215311,20.576895833333335,49,19.75382,51,2.357402877697842,418,0
23.0,0,44775.97706822251,0,0.0030120481927710845,9.544277777777777,19,9.041947368421052,20,0.5069969788519637,332,2
24.0,1,37541.31680481224,0,0.014563106796116505,7.61935294117647,18,7.619176470588236,18,0.5658487804878048,206,2
25.0,0,40038.21968808506,0,0.019230769230769232,7.581611111111111,19,7.578777777777778,19,0.5497053140096618,208,4
32.0,1,34766.64373184167,1,0.0,8.158500000000002,15,7.1358749999999995,17,0.5431818181818182,199,1
35.0,1,42501.90175557417,0,0.0049261083743842365,7.355625000000001,17,7.3551874999999995,17,0.5490693069306931,203,3
33.0,0,44733.74743444453,1,0.05357142857142857,8.247333333333334,16,8.2468,16,0.500219730941704,224,3
25.0,1,50326.85077682692,0,0.0049261083743842365,6.1063125000000005,17,5.74629411764706,18,0.44812376237623763,203,3
28.0,0,71534.63285945466,0,0.0,6.868294117647059,18,5.83805,21,0.5447085427135678,200,0
43.0,1,36541.02426383181,0,0.019230769230769232,7.503166666666666,19,7.502611111111112,19,0.6206135265700482,208,3
36.0,0,38496.91851074916,0,0.009900990099009901,7.357941176470589,18,6.583210526315789,20,0.5801592039800995,202,4
28.0,0,43046.52301221676,0,0.0,6.652388888888889,19,6.651999999999999,19,0.5794422110552764,200,3
27.0,0,58094.1432132335,0,0.0,161.87047058823532,35,141.11784615384616,40,13.783245614035087,400,1
28.0,0,61232.799317075565,0,0.0,102.94624999999999,57,88.69215384615384,66,9.613502504173622,600,0
44.0,0,43121.33411288842,0,0.0049261083743842365,6.820562500000001,17,6.418764705882354,18,0.508940594059406,203,4
27.0,0,60070.74990498364,0,0.0,78.9366,76,68.84005813953489,87,7.674075324675324,771,0
37.0,1,39530.95915328857,1,0.045454545454545456,5.3955909090909095,23,5.160913043478261,24,0.5028904109589041,220,3
29.0,0,45911.6231601647,0,0.0049504950495049506,6.678444444444445,19,6.324526315789472,20,0.5693781094527363,202,3
32.0,1,54497.57122508245,0,0.014563106796116505,7.094533333333334,16,6.259235294117647,18,0.49843902439024385,206,2
41.0,1,41063.50734208435,0,0.0049504950495049506,6.217684210526317,20,5.9047,21,0.549597014925373,202,3
26.0,1,41312.2572059511,0,0.13768115942028986,7.0983888888888895,19,6.38855,21,0.4467345454545455,276,5
27.0,0,53213.49943273845,0,0.03686635944700461,10.174266666666664,16,10.1738,16,0.6862962962962963,217,4
31.0,1,44449.620862522606,1,0.05752212389380531,9.823533333333332,16,9.206687500000001,17,0.6384711111111111,226,3
24.0,1,16030.518047246624,0,0.0,14.938473684210525,20,17.739437499999998,17,1.0833346613545816,252,4
52.0,1,20094.61588380308,0,0.0,12.121263157894736,20,10.013217391304348,24,1.2182,186,1
25.5,1,37788.26025934032,0,0.0,4.410333333333334,28,3.3077500000000004,37,0.5564320388349514,207,2
26.0,0,56101.00936327884,0,0.010309278350515464,6.604263157894738,20,5.228375000000001,25,0.5795958549222797,194,5
31.0,0,36381.60848795183,0,0.0,7.017941176470588,18,7.014058823529413,18,0.5722412060301507,200,2
33.0,1,57596.439766960124,0,0.0,8.065714285714284,15,8.065714285714284,15,0.55121,201,0
26.0,0,54506.988699143,1,0.023809523809523808,5.636333333333333,22,5.14404347826087,24,0.4836746411483253,210,3
37.0,1,19757.429132705405,0,0.03271028037383177,11.468894736842106,20,10.37347619047619,22,1.0005774647887324,214,2
50.0,1,43962.31065348355,0,0.004975124378109453,8.011333333333333,16,6.675666666666666,19,0.59007,201,4
